[14-Mar-2023 16:12:27] PHP Fatal error:  Call to undefined function slep() in D:\php\bsp\laufschrift.php on line 9
[15-Mar-2023 13:56:45] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:45] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:46] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:46] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:46] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:46] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:47] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:47] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:47] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:48] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:48] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:48] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:49] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:49] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:50] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:50] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:52] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:53] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:53] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:54] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:54] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:55] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:55] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:56] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:56] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:57] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:57] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:58] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:58] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:59] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 13:56:59] PHP Notice:  Use of undefined constant explorer - assumed 'explorer' in D:\php\bsp\00-Glocke.php on line 5
[15-Mar-2023 14:41:49] PHP Notice:  Use of undefined constant █ - assumed '█' in D:\php\bsp\27-wahl_1.php on line 5
